UserId,Date,Time,Operator,Transaction_type,Direction,Amount,Currency,New_balance,Anonymized_Content
USER_14,2024-03-17,19:49:35,OrangeMoney,rechargement,OUT,500.0,FCFA,5719.55,"Rechargement reussi. Montant de la transaction: 500 FCFA, ID transaction: RC240317.1949.C69073, Frais: 0 FCFA, Commission: 0 FCFA, Nouveau solde: 5719.55 FCFA"
USER_14,2024-08-12,15:55:20,OrangeMoney,transfert,OUT,1500.0,FCFA,1590.3,"Transfert de [PHONE_1956] [CONTACT_2A97] vers [PHONE_7944] [CONTACT_7896] epouse NDJANA reussi. Details: ID transaction: PP240812.1555.C56778, Montant Transaction: 1500FCFA, Frais: 0 FCFA, Commission: 0 FCFA, Montant Net: 1500 FCFA, Nouveau Solde: 1590.3 FCFA."
USER_14,2024-08-12,16:34:14,OrangeMoney,transfert,OUT,1300.0,FCFA,283.8,"Transfert de [PHONE_7944] [CONTACT_7896] epouse NDJANA vers [USER_14_phone] [USER_14] reussi. ID transaction: PP240812.1634.A61179, Montant Transaction: 1300 FCFA, Frais: 6.5 FCFA, Commission: 0 FCFA, Montant Net: 1306.5 FCFA, Nouveau Solde: 283.8 FCFA."
USER_14,2024-08-12,16:35:08,OrangeMoney,transfert,OUT,1300.0,FCFA,1474.25,"Transfert de [PHONE_7944] [CONTACT_7896] epouse NDJANA vers [USER_14_phone] [USER_14] reussi. Details: ID transaction: PP240812.1634.A61179, Montant Transaction: 1300FCFA, Frais: 0 FCFA, Commission: 0 FCFA, Montant Net: 1300 FCFA, Nouveau Solde: 1474.25 FCFA."
USER_14,2024-08-17,18:48:17,OrangeMoney,transfert,OUT,1500.0,FCFA,1774.25,"Transfert de [PHONE_1956] [CONTACT_2A97] vers [USER_14_phone] [USER_14] reussi. Details: ID transaction: PP240817.1848.D50987, Montant Transaction: 1500FCFA, Frais: 0 FCFA, Commission: 0 FCFA, Montant Net: 1500 FCFA, Nouveau Solde: 1774.25 FCFA."
USER_14,2024-08-23,18:02:14,OrangeMoney,rechargement,OUT,500.0,FCFA,74.25,"Rechargement reussi. Montant de la transaction: 500 FCFA, ID transaction: RC240823.1802.A47160, Frais: 0 FCFA, Commission: 0 FCFA, Nouveau solde: 74.25 FCFA"
USER_14,2024-08-26,20:08:25,OrangeMoney,transfert,OUT,1200.0,FCFA,1274.25,"Transfert de [PHONE_1956] [CONTACT_2A97] vers [USER_14_phone] [USER_14] reussi. Details: ID transaction: PP240826.2008.D42237, Montant Transaction: 1200FCFA, Frais: 0 FCFA, Commission: 0 FCFA, Montant Net: 1200 FCFA, Nouveau Solde: 1274.25 FCFA."
USER_14,2024-08-30,09:34:18,OrangeMoney,transfert,OUT,1200.0,FCFA,1274.25,"Transfert de [PHONE_1956] [CONTACT_2A97] vers [USER_14_phone] [USER_14] reussi. Details: ID transaction: PP240830.0934.A59096, Montant Transaction: 1200FCFA, Frais: 0 FCFA, Commission: 0 FCFA, Montant Net: 1200 FCFA, Nouveau Solde: 1274.25 FCFA."
USER_14,2024-09-02,20:16:16,OrangeMoney,depot,IN,5000.0,FCFA,5074.25,"Depot effectue par [PHONE_6239] [CONTACT_FC80] to [USER_14_phone] [USER_14]. Informations detaillees: Montant de transaction : 5000 FCFA, ID transaction : CI240902.2016.B24346, Frais : 0 FCFA, Commission : 0 FCFA, Montant Net du Credit : 5000 FCFA, Nouveau Solde : 5074.25 FCFA."
USER_14,2024-09-03,16:57:26,OrangeMoney,transfert,OUT,200.0,FCFA,3673.25,"Transfert de [USER_14_phone] [USER_14] vers [PHONE_2645] [CONTACT_FAEA] reussi. ID transaction: PP240903.1657.C87514, Montant Transaction: 200 FCFA, Frais: 1 FCFA, Commission: 0 FCFA, Montant Net: 201 FCFA, Nouveau Solde: 3673.25 FCFA."
USER_14,2024-09-05,11:13:03,OrangeMoney,transfert,OUT,6100.0,FCFA,6133.8,"Transfert de [PHONE_1956] [CONTACT_2A97] vers [PHONE_7944] [CONTACT_7896] epouse NDJANA reussi. Details: ID transaction: PP240905.1113.A83016, Montant Transaction: 6100FCFA, Frais: 0 FCFA, Commission: 0 FCFA, Montant Net: 6100 FCFA, Nouveau Solde: 6133.8 FCFA."
USER_14,2024-09-05,11:15:32,OrangeMoney,retrait,OUT,6000.0,FCFA,43.8,"Retrait d'argent reussi par le [PHONE_3978] avec le Code : 265652. Informations detaillees : Montant: 6000 FCFA, Frais: 90 FCFA, No de transaction CO240905.1115.D91286, montant net debite 6090 FCFA, Nouveau solde: 43.8 FCFA."
USER_14,2024-09-10,09:56:50,OrangeMoney,transfert,OUT,1200.0,FCFA,1473.25,"Transfert de [PHONE_1956] [CONTACT_2A97] vers [USER_14_phone] [USER_14] reussi. Details: ID transaction: PP240910.0956.B46559, Montant Transaction: 1200FCFA, Frais: 0 FCFA, Commission: 0 FCFA, Montant Net: 1200 FCFA, Nouveau Solde: 1473.25 FCFA."
USER_14,2024-09-10,10:14:48,OrangeMoney,transfert,OUT,10500.0,FCFA,10543.8,"Transfert de [PHONE_1956] [CONTACT_2A97] vers [PHONE_7944] [CONTACT_7896] epouse NDJANA reussi. Details: ID transaction: PP240910.1014.D57900, Montant Transaction: 10500FCFA, Frais: 0 FCFA, Commission: 0 FCFA, Montant Net: 10500 FCFA, Nouveau Solde: 10543.8 FCFA."
USER_14,2024-09-11,15:11:55,OrangeMoney,retrait,OUT,1100.0,FCFA,3293.8,"Retrait d'argent reussi par le [PHONE_5778] avec le Code : 286350. Informations detaillees : Montant: 1100 FCFA, Frais: 50 FCFA, No de transaction CO240911.1511.B77188, montant net debite 1150 FCFA, Nouveau solde: 3293.8 FCFA."
USER_14,2024-09-11,19:42:46,OrangeMoney,transfert,OUT,2100.0,FCFA,1183.3,"Transfert de [PHONE_7944] [CONTACT_7896] epouse NDJANA vers [PHONE_0640] [CONTACT_95DF] reussi. ID transaction: PP240911.1942.D78207, Montant Transaction: 2100 FCFA, Frais: 10.5 FCFA, Commission: 0 FCFA, Montant Net: 2110.5 FCFA, Nouveau Solde: 1183.3 FCFA."
USER_14,2024-09-12,08:23:06,OrangeMoney,transfert,OUT,1100.0,FCFA,77.8,"Transfert de [PHONE_7944] [CONTACT_7896] epouse NDJANA vers [USER_14_phone] [USER_14] reussi. ID transaction: PP240912.0823.B19084, Montant Transaction: 1100 FCFA, Frais: 5.5 FCFA, Commission: 0 FCFA, Montant Net: 1105.5 FCFA, Nouveau Solde: 77.8 FCFA."
USER_14,2024-09-15,09:42:52,OrangeMoney,transfert,OUT,50.0,FCFA,123.0,"Transfert de [USER_14_phone] [USER_14] vers [PHONE_6052] [CONTACT_75E3] reussi. ID transaction: PP240915.0942.A19565, Montant Transaction: 50 FCFA, Frais: 0.25 FCFA, Commission: 0 FCFA, Montant Net: 50.25 FCFA, Nouveau Solde: 123 FCFA."
USER_14,2024-09-16,11:25:09,OrangeMoney,transfert,OUT,1500.0,FCFA,1577.8,"Transfert de [PHONE_1956] [CONTACT_2A97] vers [PHONE_7944] [CONTACT_7896] epouse NDJANA reussi. Details: ID transaction: PP240916.1125.A54313, Montant Transaction: 1500FCFA, Frais: 0 FCFA, Commission: 0 FCFA, Montant Net: 1500 FCFA, Nouveau Solde: 1577.8 FCFA."
USER_14,2024-09-16,12:29:07,OrangeMoney,transfert,OUT,1200.0,FCFA,371.8,"Transfert de [PHONE_7944] [CONTACT_7896] epouse NDJANA vers [USER_14_phone] [USER_14] reussi. ID transaction: PP240916.1229.B83647, Montant Transaction: 1200 FCFA, Frais: 6 FCFA, Commission: 0 FCFA, Montant Net: 1206 FCFA, Nouveau Solde: 371.8 FCFA."
USER_14,2024-09-16,12:29:17,OrangeMoney,transfert,OUT,1200.0,FCFA,1323.0,"Transfert de [PHONE_7944] [CONTACT_7896] epouse NDJANA vers [USER_14_phone] [USER_14] reussi. Details: ID transaction: PP240916.1229.B83647, Montant Transaction: 1200FCFA, Frais: 0 FCFA, Commission: 0 FCFA, Montant Net: 1200 FCFA, Nouveau Solde: 1323 FCFA."
USER_14,2024-09-16,14:02:33,OrangeMoney,transfert,OUT,7200.0,FCFA,7571.8,"Transfert de [PHONE_7712] [CONTACT_BAF2] vers [PHONE_7944] [CONTACT_7896] epouse NDJANA reussi. Details: ID transaction: PP240916.1402.D40602, Montant Transaction: 7200FCFA, Frais: 0 FCFA, Commission: 0 FCFA, Montant Net: 7200 FCFA, Nouveau Solde: 7571.8 FCFA."
USER_14,2024-09-17,16:10:42,OrangeMoney,transfert,OUT,5200.0,FCFA,12771.8,"Transfert de [PHONE_7712] [CONTACT_BAF2] vers [PHONE_7944] [CONTACT_7896] epouse NDJANA reussi. Details: ID transaction: PP240917.1610.A93004, Montant Transaction: 5200FCFA, Frais: 0 FCFA, Commission: 0 FCFA, Montant Net: 5200 FCFA, Nouveau Solde: 12771.8 FCFA."
USER_14,2024-09-17,16:22:07,OrangeMoney,transfert,OUT,7200.0,FCFA,5535.8,"Transfert de [PHONE_7944] [CONTACT_7896] epouse NDJANA vers [PHONE_1956] [CONTACT_2A97] reussi. ID transaction: PP240917.1622.C92189, Montant Transaction: 7200 FCFA, Frais: 36 FCFA, Commission: 0 FCFA, Montant Net: 7236 FCFA, Nouveau Solde: 5535.8 FCFA."
USER_14,2024-09-17,17:05:14,OrangeMoney,retrait,OUT,1100.0,FCFA,4385.8,"Retrait d'argent reussi par le [PHONE_4834] avec le Code : 266192. Informations detaillees : Montant: 1100 FCFA, Frais: 50 FCFA, No de transaction CO240917.1705.C89266, montant net debite 1150 FCFA, Nouveau solde: 4385.8 FCFA."
USER_14,2024-09-17,18:16:08,OrangeMoney,transfert,OUT,2000.0,FCFA,2375.8,"Transfert de [PHONE_7944] [CONTACT_7896] epouse NDJANA vers [PHONE_1956] [CONTACT_2A97] reussi. ID transaction: PP240917.1816.C69926, Montant Transaction: 2000 FCFA, Frais: 10 FCFA, Commission: 0 FCFA, Montant Net: 2010 FCFA, Nouveau Solde: 2375.8 FCFA."
